"ClaimNumber","LossCause","InsuredAge"
"00036f56528a84079bdc2c4b9c95e54f","Collision with motor vehicle",70
"0003fa6bd31dd2c28e19e72a3edd5f74","Collision with fixed object",33
"000c6c706a072ca8eaea5ff4eb0481ca","Collision with motor vehicle",71
"001d6375066c0cba32a44da09d3e94ad","Collision with motor vehicle",58
"0020c1d746cccaf7f181ad87cb2b7a2a","Collision with fixed object",79
"00261aff94715a29ad0f0b80cfdadb28","Collision with motor vehicle",63
"0027ca1b2af8380044f22df497446c6e","All other",60
"002bd0ba0d794f3e501c780144674d3e","Collision with motor vehicle",42
"002c0dcd77b87da664dd8b3cece7ebf8","All other",39
"002e41681349da98f72cf73a15bd1099","Collision with motor vehicle",57
"002f57ec4bc6e322758fc4bfb68f37fd","Collision with fixed object",89
"0030d3783a3d31ac3eb55cc4ab92e20a","Collision with motor vehicle",52
"003804a98d59186af63f21ef15696fc0","Collision with motor vehicle",58
"0039d515a6a2e49b589d54505c4fdc82","Collision with motor vehicle",65
"00508200933c77f0e2bbe98a87089093","Collision with motor vehicle",26
"005f6e8747a077b1bd2fb58eb3e6ac60","Collision with fixed object",66
"006b284a1ac09b7794b3a0d6f4f2f92e","Collision with fixed object",45
"006f585578ff0acb04fa4a4aad453a81","Collision with motor vehicle",56
"0078af2e77a0cd403f2ad80a4e32f292","Towing",25
"007fbf59ce4c623ab1640178fab32843","Collision with motor vehicle",74
"0082e17c227ec69adff638609ec55ba8","Collision with animal",82
"008c348ebe0e7c859fa147722220f8ba","Collision with motor vehicle",97
"008c9763630a8a55132f232e8777549e","Collision with motor vehicle",67
"008d3798c358f9aa80576798794950c2","Collision with motor vehicle",59
"008e197e151670ae57c9118d8de41e46","Collision with motor vehicle",56
"0094e279851f540304093720723fac01","Collision with motor vehicle",69
"00a0b7ad2cf83ab037779e7cafc422a7","Rollover",63
"00a0c599811bc22a5599d39b5328a5dc","Collision with bicycle",85
"00a7da191c722e0692968b040ed7d006","Collision with fixed object",56
"00a9cf2116f75f7d84b8e9775d8eb7c7","Collision with motor vehicle",48
"00af5945203c4dce5f38855bea4bb806","Collision with motor vehicle",64
"00b3076907c8e226caa199972b6d4a81","Collision with motor vehicle",61
"00b30c8a18887e907e9f92245793d48a","Collision with motor vehicle",84
"00b9b553e3ade66a6ca48f968e0766e3","Collision with fixed object",56
"00c113810c4c146f71c910b8d54e6f4a","Rollover",37
"00d0c274104037c69f7417c7a890a496","Collision with motor vehicle",71
"00d8beacc08886b909a7717ca999c739","Collision with motor vehicle",60
"00dc4d143dbd783ed1a5d54178afa60f","Collision with motor vehicle",60
"00dfa139f370a032e6a75c87737af204","Collision with motor vehicle",74
"00e1e99840430efe722314c6829a2b1e","Collision with motor vehicle",55
"00e2c0d95288f4de5d5d5f0cb6748905","Hit while parked - insured",54
"00e2cfeabce215a21499bd3802dba974","All other",38
"00eb36f854b12739a8258269b49972e5","Collision with fixed object",63
