"ClaimNumber","lat","long","LossCity","lossPostal","County"
"0003fa6bd31dd2c28e19e72a3edd5f74",44.249454,-85.419174,"Cadillac","49601","WEXFORD"
"000c6c706a072ca8eaea5ff4eb0481ca",34.85743,-92.39722,"Maumelle","72113",NA
"001d6375066c0cba32a44da09d3e94ad",42.173293,-83.776564,"Saline","48176","WASHTENAW"
"0020c1d746cccaf7f181ad87cb2b7a2a",42.793721,-83.740638,"Fenton","48430-3421","GENESEE"
"00261aff94715a29ad0f0b80cfdadb28",43.711885,-86.33977,"Hart","49420","OCEANA"
"002bd0ba0d794f3e501c780144674d3e",42.982035,-82.448487,"Port Huron","48060","ST. CLAIR"
"002e41681349da98f72cf73a15bd1099",42.462841,-83.18352,"Oak Park","48237","OAKLAND"
"002f57ec4bc6e322758fc4bfb68f37fd",42.06141,-84.364924,"Cement City","49233","HILLSDALE"
"0030d3783a3d31ac3eb55cc4ab92e20a",42.732659,-84.556047,"Lansing","48901","INGHAM"
"003804a98d59186af63f21ef15696fc0",42.732659,-84.556047,"Lansing","48901","INGHAM"
"0039d515a6a2e49b589d54505c4fdc82",42.564732,-83.068295,"Sterling Heights","48310","MACOMB"
"00508200933c77f0e2bbe98a87089093",43.611223,-84.776711,"Mount Pleasant","48804","ISABELLA"
"005f6e8747a077b1bd2fb58eb3e6ac60",42.231396,-83.6302,"Ypsilanti","48197","WASHTENAW"
"006b284a1ac09b7794b3a0d6f4f2f92e",43.053988,-83.327384,"Lapeer","48446","LAPEER"
"006f585578ff0acb04fa4a4aad453a81",42.759284,-83.384724,"Clarkston","48348","OAKLAND"
"0078af2e77a0cd403f2ad80a4e32f292",43.415386,-85.475016,"Howard City","49329","MONTCALM"
"007fbf59ce4c623ab1640178fab32843",45.315812,-85.258752,"Charlevoix","49711","CHARLEVOIX"
"0082e17c227ec69adff638609ec55ba8",43.307405,-83.844882,"Birch Run","48415","SAGINAW"
"008c348ebe0e7c859fa147722220f8ba",41.861571,-83.451229,"La Salle","48145","MONROE"
"008c9763630a8a55132f232e8777549e",43.255195,-83.794346,"Birch Run","48415","SAGINAW"
"008d3798c358f9aa80576798794950c2",42.565598,-83.038545,"Sterling Heights","48311","MACOMB"
"008e197e151670ae57c9118d8de41e46",43.115416,-82.588581,"Grant Township","48032-2705","ST. CLAIR"
"0094e279851f540304093720723fac01",42.790338,-86.098823,"Holland","49422","OTTAWA"
"00a0b7ad2cf83ab037779e7cafc422a7",43.417006,-84.022283,"Saginaw","48638","SAGINAW"
"00a0c599811bc22a5599d39b5328a5dc",42.173293,-83.776564,"Saline","48176","WASHTENAW"
"00a7da191c722e0692968b040ed7d006",42.732672,-84.552614,"Lansing","48933","INGHAM"
"00a9cf2116f75f7d84b8e9775d8eb7c7",42.560295,-82.906151,"Clinton Township","48035","MACOMB"
"00af5945203c4dce5f38855bea4bb806",42.910965,-83.495499,"Goodrich","48438","GENESEE"
"00b3076907c8e226caa199972b6d4a81",42.650137,-83.357532,"Waterford","48328","OAKLAND"
"00b30c8a18887e907e9f92245793d48a",43.059851,-85.942761,"Coopersville","49404","OTTAWA"
"00c113810c4c146f71c910b8d54e6f4a",42.716491,-83.763062,"Fenton","48430","LIVINGSTON"
"00d0c274104037c69f7417c7a890a496",42.518185,-82.982591,"Warren","48088","MACOMB"
"00d8beacc08886b909a7717ca999c739",42.687547,-82.907869,"Macomb","48042","MACOMB"
"00dc4d143dbd783ed1a5d54178afa60f",42.598308,-83.905675,"Howell","48843","LIVINGSTON"
"00dfa139f370a032e6a75c87737af204",42.565473,-83.773632,"Brighton","48114","LIVINGSTON"
"00e1e99840430efe722314c6829a2b1e",42.538285,-83.384457,"West Bloomfield","48322","OAKLAND"
"00e2c0d95288f4de5d5d5f0cb6748905",46.34061,-84.968923,"Eckerman","49728-9420","CHIPPEWA"
"00e2cfeabce215a21499bd3802dba974",42.564732,-83.068295,"Sterling Heights","48310","MACOMB"
"00eb36f854b12739a8258269b49972e5",42.735288,-83.509077,"Davisburg","48350","OAKLAND"
"00f46cc7c6564bc8d31b5d771505a9c3",42.239435,-83.584198,"Ypsilanti","48198","WASHTENAW"
"00f6208ec9f4b88c57001dd0eb766559",42.486947,-83.263254,"Southfield","48037","OAKLAND"
"01001efc3d1f52f8766179896b75b597",43.016902,-85.724387,"Walker","49544","KENT"
"0103fed913817bd0095782e48e945b35",42.971822,-85.9402,"Allendale","49401","OTTAWA"
"010be6be8b7cf39cc0e1c0f819646b6d",42.66726,-83.001039,"Shelby Township","48315","MACOMB"
"010db7bc0d67ca04729beaa350d2035d",42.817663,-86.017472,"Borculo","49464","OTTAWA"
"010e8d6ce93e8f57b59ac99c86324560",41.944064,-83.385262,"Monroe","48162","MONROE"
"011f57616969956803cb715e1b939c83",42.560295,-82.906151,"Clinton Township","48035","MACOMB"
"0131e180f113a0c6cf981c3c4c38d06f",42.351076,-83.025059,"Detroit","48207","WAYNE"
"013ba970ebe5383757e1d6127c91fe0a",42.507987,-83.10592,"Madison Heights","48071","OAKLAND"
"013e754212fbbd9cf138f6ae4f8cc727",44.266098,-83.530072,"Tawas City","48763","IOSCO"
"013efe1b648fc81ac591239fcc1a8dec",42.66726,-83.001039,"Utica","48315","MACOMB"
"01415eda754f6c347690057b2ce9106d",45.854934,-84.628284,"Mackinac Island","49757","MACKINAC"
"0143ddad50527479f3b1e9fe8a4ca4e1",41.840742,-85.669498,"Constantine","49042-1009","ST. JOSEPH"
"014d82445d9ff51e298ad73e9c42d55f",42.790338,-86.098823,"Holland","49422","OTTAWA"
"0150ab674e2de3857f220330cae62b12",41.792285,-83.641741,"Temperance","48182","MONROE"
"0150fdb1897254913c9b2f30b6f1fc94",42.598308,-83.905675,"Howell","48843","LIVINGSTON"
"0155d4a21ff98e76dcff9da236736d6d",43.067697,-85.135081,"Orleans","48865-9811","IONIA"
"01612a678d6fb4f7012335eaa2960b98",42.464742,-85.712393,"Otsego","49078","ALLEGAN"
"01652d8274270844829dfbc51d9fc1b6",42.548932,-83.284456,"Bloomfield Hills","48301","OAKLAND"
"01698be23a394280f6cfe400e9538037",42.513962,-84.647947,"Eaton Rapids","48827","EATON"
"0173a27cef2fa87bddad90ee484e6f30",43.043216,-86.202193,"Grand Haven","49417","OTTAWA"
"0178e8fb305e19561d32e5b1db93e8e9",42.717665,-83.151926,"Rochester","48306","OAKLAND"
"017cc2060f4d4c5d4e63179a1044d5fe",42.926933,-83.035225,"Jenison","48003","LAPEER"
"018116be7f647535a951ea242f2ae880",42.759284,-83.384724,"Independence Township","48348","OAKLAND"
"0187985766ad6fd3261c5685ed56d212",43.148166,-85.849309,"Conklin","49403","OTTAWA"
"018f276666c020f82feef35ab2af48be",42.564732,-83.068295,"Sterling Heights","48310","MACOMB"
"01985869afe5343e9abee64e0a0c2f4b",42.598308,-83.905675,"Howell","48843","LIVINGSTON"
"01accf67b61c87007623033798d02e62",42.698972,-83.306457,"Auburn Hills","48321","OAKLAND"
"01acf7d5295f97e0e7e229a655ea8bf3",42.814978,-83.793295,"Linden","48451","GENESEE"
"01b2d1e326b5337e0b4462061b148bae",42.421481,-83.103589,"Detroit","48203","WAYNE"
"01b4ff774b338ade14bf8cdee09c20bb",42.231396,-83.6302,"Ypsilanti","48197","WASHTENAW"
"01b95b70248d4cda0fda599834faef2d",42.560295,-82.906151,"Clinton Township","48035","MACOMB"
"01c26315128cb7336d89725de2c1130c",42.548932,-83.284456,"Bloomfield Hills","48301","OAKLAND"
"01c61bba5c330e829dc998d4c4f2d43c",41.642624,-83.511784,"Toledo","43605",NA
"01cc626816598ca452efe52ca107efb4",42.239435,-83.584198,"Ypsilanti","48198","WASHTENAW"
"01d1df96344b4755331be8a7f9d63410",42.90457,-85.819925,"Jenison","49428","OTTAWA"
"01d5d4d336b170a0700ad5bbf68a9bad",42.646987,-82.927716,"Macomb","48044","MACOMB"
"01d779a760afd327072226e2a98ce033",42.687547,-82.907869,"Macomb","48042","MACOMB"
"01dddc9375d40a20bea73bbb6cad3d25",41.983737,-85.854428,"Marcellus","49067-9530","CASS"
"01df13a6b34e44f7264e695dbe0862c6",42.266835,-85.564718,"Kalamazoo","49001","KALAMAZOO"
"01e95173c587a64c2f7b0d5ba9c86a74",41.79048,-83.498708,"Erie","48133","MONROE"
"01ee12fbad2e68b449c24b961d608463",42.759284,-83.384724,"Clarkston","48348","OAKLAND"
"01efb6467f554eb168f3532fc5c34dd9",42.984241,-84.103089,"Corunna","48817","SHIAWASSEE"
"01f36dbb049a9bdfe445aeddfdbbdda6",44.759196,-85.668523,"Traverse City","49684","GRAND TRAVERSE"
"01f4b93f8447c90bad989cb6d1934dca",42.278124,-83.262613,"Dearborn Heights","48125","WAYNE"
"01ffee9152417cf8bafddb805444d401",42.231223,-83.262935,"Taylor","48180","WAYNE"
"0205fd4307ae14b60eb074601c1aafc6",42.266835,-85.564718,"Kalamazoo","49001","KALAMAZOO"
"021a99158c0de69b90bbdd1a57fdf1a7",42.565473,-83.773632,"Brighton","48114","LIVINGSTON"
"021ac888f06ac203ad0c599ac7d632c2",42.849872,-82.914078,"Armada","48005","MACOMB"
"021f0534791adcca4e5e64bdaf6fb7d0",42.014411,-86.510868,"Stevensville","49127","BERRIEN"
"0225251541d42a13f65c7da40562b6b9",42.55997,-83.147539,"Troy","48007","OAKLAND"
"0229dc2a1c75988866e202bf47f0da5f",42.864608,-84.904484,"Portland","48875","IONIA"
"022ab62eb2fb6a781f5d508549858144",42.732659,-84.556047,"Lansing","48901","INGHAM"
"022f717a4914a85ee5825b3a5be9a05a",42.783149,-83.72156,"Fenton","48430","GENESEE"
"023acb20c46f6c0a26e1d55f3e3116d8",42.978944,-85.775215,"Walker","49534","KENT"
"024bf092a60f2ead27454a5dbf84b569",41.926144,-85.508829,"Centreville","49032","ST. JOSEPH"
"024e3c8e70dbb876558981fceae90ce8",42.984241,-84.103089,"Corunna","48817","SHIAWASSEE"
"025b2d5bb492622b0665516a0e4d691d",43.053988,-83.327384,"Lapeer","48446","LAPEER"
"025f3369464752825861ff5ae5169ab4",42.518185,-82.982591,"Warren","48088","MACOMB"
"026202c0221f83fb9ef66f32fc3503ca",42.692783,-83.38959,"Waterford","48329","OAKLAND"
"02620b9914cb33950bd7337bae0dbbce",42.598308,-83.905675,"Howell","48843","LIVINGSTON"
"0271f2c57327a050245f5f29fdcefcad",42.247517,-84.396211,"Jackson","49201","JACKSON"
"027f0e6f0a6a7122534f748c764a3488",44.278866,-84.231733,"West Branch","48661","OGEMAW"
"0282cf8cbdfc67c117760ff77fd91726",42.421481,-83.103589,"Highland Park","48203","WAYNE"
"028ceab3d5074bed07583fcc10949bb7",41.906478,-83.41815,"Monroe","48161","MONROE"
"028fd9bfa2753138484e84b16e77c765",42.817663,-86.017472,"Zeeland","49464","OTTAWA"
"029198a1bf23362c7b264e866d5f8fc8",42.595827,-83.288689,"Bloomfield Hills","48302","OAKLAND"
"02a1d660ee05ffca120c18c4fe2373fd",42.960989,-85.502549,"Ada","49301","KENT"
"02a7efaec9f2d81683029988eb3e2ab4",41.993634,-84.327444,"Addison","49220","LENAWEE"
"02aafcbf23df7dd33e7df2da370efb49",42.27951,-83.74722,"Ann Arbor","48107","WASHTENAW"
"02ab700cf06a25b71c8e7cd2cde43a89",42.923017,-85.737778,"Grandville","49418-1176","KENT"
"02ac4b2d88ec2a027fa28e90c538bc69",42.32935,-83.482506,"Canton","48187","WAYNE"
"02bc51bb3e5df470858b44482b3c2a4b",42.717665,-83.151926,"Rochester Hills","48306","OAKLAND"
"02c251f2bbb9b94899b35679766832e7",41.989247,-83.29937,"Newport","48166","MONROE"
"02c5ae3188ca83cef970eaa4b18bef9e",42.463323,-83.841113,"Hamburg Twp","48143","LIVINGSTON"
"02c7366b7ae3ade579c700c3ecbdc1a5",43.406066,-83.166484,"Kingston","48741","TUSCOLA"
"02ca77ecd850e49b152138bcc27c4bbb",42.873433,-83.91017,"Gaines","48436","GENESEE"
"02cf0fe7522cd962ee84f0d37e0e6d1d",42.360304,-85.707148,"KALAMAZOO","49009-8864","KALAMAZOO"
"02d35dbf7bd2f9d3d4ae4f60f2de42ef",43.023316,-83.686511,"Flint","48501","GENESEE"
"02d6e198a796c2eeca1852fd9e0474c3",42.790338,-86.098823,"Holland","49422","OTTAWA"
"02dd97e470e7fadac6fa49452987d838",42.55997,-83.147539,"Troy","48007","OAKLAND"
"02de0c40d168c89eed94923bb4e04028",42.565473,-83.773632,"Brighton","48114","LIVINGSTON"
"02ded777f186bd08e78b73cd56ec7b07",42.374585,-83.077973,"Detroit","48202","WAYNE"
"02e22cf6388b333e5c2b8055f3c33d42",42.564732,-83.068295,"Sterling Heights","48310","MACOMB"
"02e245a722b39da8eb3e30a3c85cce66",42.970397,-85.673043,"Grand Rapids","49501","KENT"
"02e4d7e7159ecf862a78152f7d77104c",42.961263,-85.661612,"Grand Rapids","49503","KENT"
"02eb4a7d73b39c51c31c2caf32c26293",43.601913,-83.91718,"Bay City","48706","BAY"
"02ec20bf9b0bfe139c380927c15e39a8",44.759196,-85.668523,"Traverse City","49684","GRAND TRAVERSE"
"02f4f0c09f164430ec77652cdc0490db",46.542048,-87.402352,"Marquette","49855","MARQUETTE"
"02f5b216233c45a9c98d127c25d5fdd6",42.646987,-82.927716,"Macomb Township","48044","MACOMB"
"02fa5f5d3e6540d2cbf0aff30cc9451a",42.790338,-86.098823,"Holland","49422","OTTAWA"
"02fb1f177e8bc29186bf5f05a728d938",43.035253,-82.603215,"North Street","48049-2935","ST. CLAIR"
"02fbfbf218ba028184280f5f05f0bda3",42.944596,-85.616836,"Grand Rapids","49506","KENT"
